"Feature","Gain","Cover","Frequency"
"ged_best_sb",0.139361667073496,0.072627979162493,0.114208443539684
"ged_best_sb_s2",0.0526722267034842,0.0618703009019234,0.050015301088303
"ged_best_sb_s1",0.0490754066738374,0.0584636261982157,0.0594137407274354
"ged_best_sb_s4",0.0477757900117808,0.0447699340323799,0.0353780769368132
"ged_best_sb_s6",0.0462618910184269,0.0547629148884746,0.0340727575502292
"ged_count_sb",0.0445350333864059,0.034222126155976,0.0483962568706088
"ged_best_sb_s3",0.0438757076920316,0.0456967404646051,0.0371847958302609
"ged_best_sb_s5",0.0412091855265695,0.045920496120482,0.0375608454604087
"ged_count_sb_s6",0.0364607240264702,0.0200914706225555,0.0201491173337871
"ged_count_sb_s1",0.0332612319438338,0.0243257454611738,0.0310363493634117
"ged_count_sb_s2",0.0312330014319223,0.0224847801840482,0.0267436412948712
"ged_best_os",0.0300596293318215,0.0394159673854251,0.0584942748719716
"ged_count_sb_s5",0.0297309213573557,0.0218177843326263,0.0206028978930717
"ged_count_sb_s3",0.0294993146468229,0.0203193721527688,0.02342291997986
"ged_count_sb_s4",0.0289712200223546,0.0199477795172237,0.0225832858894554
"ged_best_os_s1",0.0242326968134868,0.0186928946329592,0.0306715041915178
"ged_best_os_s5",0.0205806504284009,0.0276739266850729,0.0184320341063709
"ged_best_os_s4",0.0195257800336778,0.0250257093937247,0.0180692897703996
"ged_best_os_s2",0.0186864353883763,0.0213578722337082,0.0228451901011412
"ged_best_os_s3",0.0182598664204304,0.0234281074926827,0.0197338520997505
"ged_count_os",0.0178010010241249,0.0167156238373917,0.0312555365780044
"ged_best_os_s6",0.0167108713570117,0.0246598299977137,0.0155048693875293
"ged_count_os_s1",0.0149523821152321,0.0125913445150407,0.0203641028765346
"ged_best_ns",0.0144216198489468,0.0216440885898827,0.0311757048129451
"ged_count_os_s2",0.0143929487362949,0.0129424269521806,0.0156988465710506
"ged_best_ns_s1",0.0132499716491786,0.0215733121976132,0.0176799348460753
"ged_count_os_s5",0.0111653919433128,0.00974042325313981,0.0111470354053878
"ged_count_os_s6",0.0110432241863131,0.0105688006243764,0.0109628621228387
"ged_count_os_s3",0.0110257245061154,0.0101107211087389,0.0123221029647697
"ged_best_ns_s3",0.0108651259047443,0.0238899792585462,0.0100307912518391
"ged_count_os_s4",0.0101149408646209,0.00976029803322153,0.0116918521879856
"ged_best_ns_s2",0.00974385638385979,0.015894534438056,0.0118704232414078
"ged_best_ns_s6",0.00909932412906559,0.0229087699670815,0.00813863836420512
"ged_best_ns_s5",0.00877055982030883,0.0201739331865995,0.00846426793221023
"ged_best_ns_s4",0.00772400652910094,0.0123737238691213,0.0083165091389864
"ged_count_ns",0.00741400872740799,0.0073834485689941,0.0143080931902804
"ged_count_ns_s1",0.00520800372020889,0.0064310780604522,0.00803429684671531
"ged_count_ns_s3",0.00464591508670024,0.00613632499723676,0.00495517166280463
"ged_count_ns_s2",0.00449364399469226,0.00910090694196618,0.0060209957542106
"ged_count_ns_s6",0.00402431045507817,0.00808657117523975,0.00423388466270729
"ged_count_ns_s5",0.00395264781507031,0.007324319670862,0.00435083119573278
"ged_count_ns_s4",0.00391214127162619,0.00707401273802669,0.00445867410642695
